f (Hz)	t (ms)
10	0.001
12	0.001
15	0.001
20	0.001
30	0.001
50	0.001
70	0.001
100	0.003
120	0.005
150	0.007
200	0.009
300	0.016
400	0.021
500	0.022
600	0.021
700	0.021
800	0.02
900	0.021
1000	0.022
1200	0.021
1300	0.021
1500	0.021
1700	0.0225
2000	0.021
2200	0.021
2500	0.0197
3000	0.0206
3500	0.0196
4000	0.0196
4300	0.02
4500	0.0203
4700	0.0197
5000	0.0197
5300	0.0188
5700	0.0183
6000	0.0178
6500	0.0176
7000	0.0176
8000	0.0168
9000	0.0157
10000	0.0147
12000	0.0133
15000	0.0116
20000	0.0095
30000	0.0068
50000	0.00426
70000	0.00308
100000	0.00218
