x	y
-10	-4.27090500279754
-9	-3.94381989992469
-8	-3.97246804670977
-7	-3.79845068859463
-6	-3.64280260530551
-5	-3.50235346292279
-4	-3.36527804562786
-3	-3.14623808807382
-2	-3.25188626128513
-1	-3.12620743134567
0	-2.95828896384143
1	-2.96826992115058
2	-2.59783564457272
3	-2.64569746358473
4	-2.44833611789269
5	-2.31889129339511
6	-2.12246817434032
7	-2.36921276142421
8	-2.15662142744039
9	-1.97737732383081
10	-1.93080299298037
11	-1.58006430373207
12	-1.55114487237188
13	-1.546584916624
14	-1.33465481881253
15	-1.29106482086983
16	-1.21932023042681
17	-1.14559185591554
18	-1.1057176763771
19	-0.862457458470614
20	-0.681644689489282
21	-0.823229941693391
22	-0.561764972808749
23	-0.600374737214238
24	-0.404973578014152
25	-0.219594708215837
26	-0.218705758144902
27	-0.247263577015393
28	0.147595641899435
29	0.102108997815422
30	0.406400231298162
31	0.518401529018375
32	0.666951437708181
33	0.71337641772682
34	0.702189245525976
35	0.864919818485103
36	1.03817626839745
37	1.08590065572141
38	1.18848819147357
39	1.19154748584248
40	1.40089866079568
41	1.57034943648325
42	1.59587033707032
43	1.78870554045571
44	1.96538417178173
45	1.95268828487103
46	2.04998973244768
47	2.06825243559629
48	2.36986697610005
49	2.36160399452302
50	2.54607512793032
51	2.71295526665618
52	2.59399560657514
53	2.96277279069537
54	3.11641081052424
55	3.19458880588061
56	3.31303807569151
57	3.15470059495674
58	3.60276426590593
59	3.84190392420527
60	3.75855645909178
61	3.98035484330222
62	3.9258559623189
63	3.8885561364874
64	4.1019067128807
65	4.30766571960805
66	4.29633566733548
67	4.54393566453245
68	4.42863729652399
69	4.7110493307541
70	4.82091760518604
71	4.91556580155328
72	4.97723066635796
73	5.07146385789293
74	5.44776759892451
75	5.20273167372219
76	5.40769260002438
77	5.50770492334818
78	5.61503783683341
79	5.65922291314511
80	5.79572467603597
81	6.06893112595848
82	6.17504090039568
83	6.20914556439943
84	6.23189066338826
85	6.50437506558882
86	6.53683247782678
87	6.54017493737304
88	6.73940328259698
89	6.82744347988351
90	6.90969171816808
91	7.30976572328449
92	7.26726975746045
93	7.19020857512195
94	7.39743295016385
95	7.63012847030329
96	7.54319073710943
97	7.9242635049601
98	7.80182052334798
99	7.92851589780984
100	8.11309004333747
