f (Hz)	t (ms)
10	-25.55
12	-21.05
15	-16.93
20	-12.51
30	-8.13
50	-4.89
70	-3.5
100	-2.42
120	-1.992
150	-1.573
200	-1.165
300	-0.76
400	-0.553
500	-0.431
600	-0.348
700	-0.289
800	-0.245
900	-0.211
1000	-0.183
1200	-0.143
1300	-0.127
1500	-0.102
1700	-0.0814
2000	-0.0632
2200	-0.0517
2500	-0.0378
3000	-0.0219
3500	-0.011
4000	-0.0036
4300	5.4E-4
4500	0.00266
4700	0.00314
5000	0.00687
5300	0.00744
5700	0.0105
6000	0.0109
6500	0.0116
7000	0.0131
8000	0.0133
9000	0.0142
10000	0.0136
12000	0.0132
15000	0.0117
20000	0.00963
30000	0.00688
50000	0.00433
70000	0.00315
100000	0.00226
