f (Hz)	t (ms)
10	-25.3
12	-20.7
15	-16.8
20	-12.6
30	-8.19
50	-4.91
70	-3.5
100	-2.42
120	-1.99
150	-1.58
200	-1.17
300	-0.757
400	-0.553
500	-0.432
600	-0.351
700	-0.293
800	-0.249
900	-0.215
1000	-0.189
1200	-0.15
1300	-0.135
1500	-0.111
1700	-0.0928
2000	-0.0729
2200	-0.0628
2500	-0.0508
3000	-0.0374
3500	-0.0294
4000	-0.0235
4300	-0.0204
4500	-0.019
4700	-0.0176
5000	-0.0156
5300	-0.014
5700	-0.0122
6000	-0.0111
6500	-0.00963
7000	-0.00843
8000	-0.00652
9000	-0.00522
10000	-0.00427
12000	-0.00294
15000	-0.00196
20000	-0.00103
30000	-5.06E-4
50000	-1.76E-4
70000	-7.9E-5
100000	-3.73E-5
